,pair_of_objects,cause_directions,confounders,confidences
904,socks // field,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'y-to-x', 'z-to-xy']","['player', '?', 'Athlete', '', 'sports']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_2']"
905,suit // pants,"['z-to-xy', 'z-to-xy', 'x-to-y', 'x-to-y', 'z-to-xy']","['person', 'outfit', '', '', 'person']","['confidence_2', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_2']"
906,slot // coin slot,"['z-to-xy', 'x-is-y', 'x-is-y', 'y-to-x', 'x-is-y']","['Vending Machine', '', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_2']"
907,floor // woman,"['y-to-x', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'x-to-y']","['', '?', '?', 'Home', '']","['confidence_2', 'confidence_1', 'confidence_2', 'confidence_2', 'confidence_2']"
908,slice // pizza slice,"['x-is-y', 'x-is-y', 'z-to-xy', 'x-is-y', 'x-to-y']","['', '', '?', '', '']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_3']"
909,person // street,"['x-to-y', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['', '?', '?', 'Civilisation', '?']","['confidence_2', 'confidence_1', 'confidence_2', 'confidence_2', 'confidence_3']"
910,writing // hair,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['human', 'Author', '?', 'Human', '?']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_3']"
911,radio // electronics,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_3']"
912,passengers // trolley,"['y-to-x', 'y-to-x', 'y-to-x', 'z-to-xy', 'y-to-x']","['', '', '', 'Transportation', '']","['confidence_2', 'confidence_3', 'confidence_1', 'confidence_3', 'confidence_3']"
913,door // wall,"['y-to-x', 'y-to-x', 'z-to-xy', 'y-to-x', 'y-to-x']","['', '', '?', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
914,pack // reigns,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'x-to-y']","['group', 'Horse', '?', 'Animals', '']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_1', 'confidence_2']"
915,"range // stove top,stovetop","['z-to-xy', 'x-is-y', 'z-to-xy', 'x-is-y', 'y-to-x']","['kitchen', '', 'kitchen', '', '']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
916,wall // grass,"['x-to-y', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['', '?', 'Outside', 'Indoor/Outdoor scene', '?']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_3']"
917,clouds // wall,"['y-to-x', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['', '?', 'Outside', 'Indoor/Outdoor scene', '?']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_3']"
918,wall // hair,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '?', '?', 'Building/Human', '?']","['confidence_3', 'confidence_2', 'confidence_1', 'confidence_2', 'confidence_3']"
919,salt shaker // shaker,"['z-to-xy', 'x-is-y', 'x-is-y', 'x-is-y', 'y-to-x']","['salt', '', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_3']"
920,writing // building,"['z-to-xy', 'z-to-xy', 'y-to-x', 'z-to-xy', 'z-to-xy']","['human', '?', '', 'School', '?']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_3']"
921,chair // ceiling,"['y-to-x', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['', '?', 'Room', 'Building', 'Building', 'stadium', 'person']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_1', 'confidence_1']"
922,bridle // halter,"['z-to-xy', 'x-is-y', 'x-is-y', 'z-to-xy', 'x-is-y']","['horse', '', '', 'Horse', '']","['confidence_3', 'confidence_1', 'confidence_2', 'confidence_3', 'confidence_3']"
923,land // uniform,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'x-to-y']","['?', '?', '?', 'Sports', '']","['confidence_3', 'confidence_2', 'confidence_1', 'confidence_2', 'confidence_2']"
924,ear // head,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
925,jacket // hair,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['Person', 'person', '?', 'Person', 'person']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
926,person // pants,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
927,suit // hair,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['Person', 'person', '?', 'Person', 'person']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
928,people // pants,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
929,candles // birthday cake,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_1', 'confidence_3', 'confidence_3']"
930,beef // beverage,"['z-to-xy', 'x-to-y', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['Restaurant', '', '?', 'Dinner', 'lunch']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_2']"
931,stall // plumbing,"['x-to-y', 'x-to-y', 'z-to-xy', 'x-to-y', 'z-to-xy']","['', '', '?', '', 'bathroom']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_2']"
932,brim // cowboy hat,"['y-to-x', 'z-to-xy', 'z-to-xy', 'y-to-x', 'y-to-x']","['', 'Formal/informal', '?', '', '']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_2']"
933,lift // ski lift,"['x-to-y', 'x-to-y', 'x-is-y', 'x-is-y', 'x-is-y']","['', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_1', 'confidence_3', 'confidence_2']"
934,entertainment center // armchair,"['y-to-x', 'z-to-xy', 'x-to-y', 'z-to-xy', 'x-to-y']","['?', '?', '', 'Living area', '']","['confidence_1', 'confidence_1', 'confidence_1', 'confidence_2', 'confidence_3']"
935,beard // man,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
936,fries // meal,"['y-to-x', 'y-to-x', 'y-to-x', 'z-to-xy', 'y-to-x']","['', '', '', 'Food', '']","['confidence_3', 'confidence_3', 'confidence_1', 'confidence_2', 'confidence_3']"
937,ear // man,"['y-to-x', 'y-to-x', 'z-to-xy', 'y-to-x', 'y-to-x']","['', '', 'human', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
938,condiments // door handle,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['cabinet', '?', '?', 'Kitchen', 'inside objects']","['confidence_3', 'confidence_1', 'confidence_3', 'confidence_3', 'confidence_2']"
939,mouth // hair,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['head', 'face', 'human', 'Head', 'face']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
940,sock // uniform,"['y-to-x', 'y-to-x', 'y-to-x', 'z-to-xy', 'y-to-x']","['', '', '', 'Clothing', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
941,grass // shorts,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['season', 'athlete', '?', 'Playground', 'summer']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_3']"
942,tennis // tennis net,"['y-to-x', 'y-to-x', 'y-to-x', 'x-to-y', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_3']"
943,head // girl,"['y-to-x', 'y-to-x', 'x-to-y', 'z-to-xy', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', 'body', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_3']"
944,bowls // crate,"['z-to-xy', 'z-to-xy']","['restaurant', 'food']","['confidence_1', 'confidence_2']"
945,letters // word,"['y-to-x', 'x-to-y', 'y-to-x', 'x-to-y', 'x-to-y', 'y-to-x', 'x-to-y']","['', '', '', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
946,bow // sneaker,"['y-to-x', 'z-to-xy']","['', 'laces']","['confidence_1', 'confidence_2']"
947,benches // manhole,"['x-to-y', 'z-to-xy']","['', 'person']","['confidence_2', 'confidence_2']"
948,tie // shirt,"['z-to-xy', 'y-to-x', 'y-to-x', 'z-to-xy', 'z-to-xy']","['Formal suit ', '', '', 'Man', 'person']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
949,person // hat,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
950,cereal // macaroni,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['Food items', '?', 'snack/lunch', 'Pantry', 'Food']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_2']"
951,bed frame // footboard,"['x-to-y', 'z-to-xy', 'z-to-xy', 'x-to-y', 'x-to-y']","['', 'Headboard', 'room', '', '']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_2']"
952,fixtures // backsplash,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'x-to-y', 'y-to-x']","['Pressure Cooker arrangement ', '?', 'kitchen', '', 'Kitchen']","['confidence_1', 'confidence_1', 'confidence_2', 'confidence_1', 'confidence_2']"
953,head // sky,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['Clouds forming head-like shapes in the sky', '?', 'planet', 'Pilot', '?']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_1']"
954,sedan // exhaust pipe,"['z-to-xy', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['Vehicle ', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_2']"
955,lunch // salad,"['z-to-xy', 'x-to-y', 'x-to-y', 'x-to-y', 'z-to-xy']","['Vegetable meal ', '', '', '', 'Food']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_2']"
956,sandwiches // sandwich,"['y-to-x', 'x-is-y', 'x-is-y', 'x-is-y', 'x-is-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
957,passenger // driver,"['y-to-x', 'z-to-xy', 'y-to-x', 'y-to-x', 'z-to-xy']","['', 'car', '', '', 'vehicle']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_2']"
958,hamburger // sandwhich,"['y-to-x', 'x-is-y', 'x-is-y', 'x-is-y', 'z-to-xy']","['', '', '', '', 'wheat']","['confidence_2', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_2']"
959,jet engine // engines,"['z-to-xy', 'x-is-y', 'x-is-y', 'x-is-y', 'y-to-x']","['jet', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
960,mouth // shirt,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['person', '?', 'Person', 'person', 'person']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_2']"
961,mountains // sky,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'y-to-x', 'z-to-xy']","['earth', '?', 'Outside', '', 'nature']","['confidence_1', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_2']"
962,trees // road,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['street', '?', 'Outside', '?', 'outdoors']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_1', 'confidence_2']"
963,wall // chair,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['room', '?', 'Room', 'room', 'building']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_2']"
964,cereal // nuts,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '?', 'Breakfast', 'breakfast', 'Agriculture']","['confidence_1', 'confidence_1', 'confidence_3', 'confidence_3', 'confidence_2']"
965,trees // water,"['y-to-x', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['', '?', 'Outside', '?', 'nature']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_1', 'confidence_3']"
966,condiments // freezer,"['x-to-y', 'z-to-xy', 'z-to-xy', 'y-to-x', 'z-to-xy']","['', '?', 'Kitchen', '', 'Kitchen']","['confidence_1', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_2']"
967,antelope // deer,"['z-to-xy', 'z-to-xy', 'x-is-y', 'z-to-xy', 'z-to-xy']","['Pasture', 'field', '', 'animals', 'mammals']","['confidence_1', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_2']"
968,tree // fence,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['wood', '?', 'Outside', '?', 'field']","['confidence_1', 'confidence_2', 'confidence_2', 'confidence_1', 'confidence_2']"
969,hair // man,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_2']"
970,parade // policeman,"['x-to-y', 'z-to-xy', 'x-to-y', 'x-to-y', 'y-to-x']","['', '?', '', '', '']","['confidence_1', 'confidence_1', 'confidence_3', 'confidence_2', 'confidence_2']"
971,mushroom // veggie,"['y-to-x', 'z-to-xy', 'y-to-x', 'y-to-x', 'z-to-xy']","['', '?', '', '', 'Food']","['confidence_2', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_2']"
972,shaker // pepper shaker,"['y-to-x', 'x-is-y', 'x-is-y', 'x-to-y', 'x-is-y']","['', '', '', '', '']","['confidence_1', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
973,eyes // sky,"['x-to-y', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'x-to-y']","['', '?', '?', '?', '']","['confidence_1', 'confidence_2', 'confidence_1', 'confidence_1', 'confidence_3']"
974,window // man,"['y-to-x', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'y-to-x']","['', 'View', '?', 'house', '']","['confidence_3', 'confidence_2', 'confidence_1', 'confidence_2', 'confidence_2']"
975,plumbing // toilet tank,"['z-to-xy', 'x-to-y', 'y-to-x', 'y-to-x', 'y-to-x']","['pipes', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
976,skis // ski boots,"['z-to-xy', 'x-to-y', 'x-to-y', 'z-to-xy', 'x-to-y']","['skier', '', '', 'Skier', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_3']"
977,mouth // sky,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '""?""', '?', '?', '?']","['confidence_3', 'confidence_1', 'confidence_1', 'confidence_1', 'confidence_3']"
978,door // floor,"['z-to-xy', 'y-to-x', 'z-to-xy', 'z-to-xy', 'y-to-x']","['building', '', 'Room', 'room', '']","['confidence_3', 'confidence_1', 'confidence_2', 'confidence_3', 'confidence_3']"
979,hamburger // bun,"['y-to-x', 'y-to-x', 'x-to-y', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
980,officer // police,"['x-is-y', 'x-is-y', 'x-is-y', 'x-is-y', 'x-is-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
981,baseball player // mitt,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_3']"
982,face // man,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
983,glasses // man,"['y-to-x', 'y-to-x', 'z-to-xy', 'y-to-x', 'y-to-x']","['', '', 'water', '', '']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_2']"
984,basin // display case,"['z-to-xy', 'z-to-xy', 'y-to-x', 'x-to-y', 'z-to-xy']","['room', '?', '', '', 'Building']","['confidence_2', 'confidence_1', 'confidence_2', 'confidence_3', 'confidence_2']"
985,pants // helmet,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['person', 'Uniform', 'player', 'Football Player', 'Person']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_2']"
986,tree // wall,"['y-to-x', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['', '?', 'wood', '?', 'Outdoor/Indoor']","['confidence_2', 'confidence_1', 'confidence_2', 'confidence_2', 'confidence_2']"
987,house // tree,"['x-to-y', 'z-to-xy', 'x-to-y', 'z-to-xy', 'z-to-xy']","['', 'Outside', '', 'Land', 'Community']","['confidence_2', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_2']"
988,fencing // worker,"['y-to-x', 'z-to-xy', 'z-to-xy', 'y-to-x', 'y-to-x']","['', '?', '?', '', '']","['confidence_3', 'confidence_1', 'confidence_2', 'confidence_3', 'confidence_2']"
989,slot // wii remote,"['x-to-y', 'z-to-xy', 'y-to-x', 'y-to-x', 'z-to-xy']","['', 'Wii', '', '', '?']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_1']"
990,cereal // meal,"['z-to-xy', 'y-to-x', 'x-to-y', 'y-to-x', 'x-is-y']","['snack/lunch', '', '', '', '']","['confidence_1', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_2']"
991,spray // splash,"['x-to-y', 'z-to-xy', 'z-to-xy', 'y-to-x', 'y-to-x']","['', 'water', '?', '', '']","['confidence_2', 'confidence_2', 'confidence_1', 'confidence_2', 'confidence_3']"
992,tree // hair,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'person', '?', '?', '?']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_1', 'confidence_1']"
993,biscuit // bagel,"['x-is-y', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['', 'dough', '?', 'Breakfast', 'baking']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_3']"
994,water // man,"['z-to-xy', 'x-to-y', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['drinking', '', '?', 'Swimmer', '?']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_1']"
995,room // floor,"['y-to-x', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_2', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_2']"
996,people // jeans,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_3']"
997,vegetable // brocolli,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_2', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_3']"
998,outfield // baseball cap,"['x-to-y', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['', 'players', '?', 'Baseball player', 'baseball']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_2']"
999,street // road,"['x-is-y', 'x-is-y', 'x-is-y', 'x-is-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_3']"
1000,floor // pants,"['z-to-xy', 'x-to-y', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '', '?', 'Building', 'indoor scene']","['confidence_1', 'confidence_3', 'confidence_1', 'confidence_2', 'confidence_2']"
1001,pasta // macaroni,"['z-to-xy', 'x-is-y', 'x-is-y', 'x-is-y', 'x-to-y']","['dough', '', '', '', '']","['confidence_1', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
1002,head // sign,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['person', '?', '?', '?', '?']","['confidence_2', 'confidence_1', 'confidence_1', 'confidence_2', 'confidence_1']"
1003,passenger // trolley,"['y-to-x', 'y-to-x', 'y-to-x', 'z-to-xy', 'x-to-y']","['', '', '', 'Transportation', '']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_2']"
1004,rider // dirt bike,"['x-to-y', 'y-to-x', 'y-to-x', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_1', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
1005,player // bed,"['z-to-xy', 'y-to-x', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['human', '', 'Room', '?', '?']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_1', 'confidence_2']"
1006,sand // beach,"['x-to-y', 'y-to-x', 'y-to-x', 'z-to-xy', 'y-to-x']","['', '', '', 'sea', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
1007,muffler // motorbike,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
1008,kayak // raft,"['x-to-y', 'x-to-y', 'x-is-y', 'z-to-xy', 'x-is-y']","['', '', '', 'body of water', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_3']"
